Continent,Country,Nominal GDP (USDMM),External debt (USD),Minimum wage (USD),Population (2017)
Africa,Angola,124209,37700000000,0.51,29784193
America,Argentina,637717,363117000000,2.99,44271041
Oceania,Australia,1379548,1487720000000,14.07,24450561
Europe,Austria,416845,638340000000,0,8735453
America,Bahamas,9127,17560000000,5.25,9827589
Asia,Bahrain,34895,21160000000,0,1492584
Asia,Bangladesh,261374,25963000000,0.09,164669751
Europe,Belarus,54436,38975000000,0.91,9468338
Europe,Belgium,494733,1278465000000,10.28,11429336
America,Brazil,2054969,556418000000,1.67,209288278
Europe,Bulgaria,56943,40419000000,1.76,7084571
America,Canada,1652412,1931900000000,8.43,24053727
America,Chile,277042,173920000000,2.18,18054726
Asia,China,12014610,1710625000000,0.85,1409517397
America,Colombia,309197,121097200000,1.27,49065615
America,Costa Rica,58056,24910000000,1.85,4905769
Europe,Croatia,54516,46084700000,3,4189353
Europe,Cyprus,21310,119672000000,0,1179551
Europe,Czech Republic,213189,137606000000,3.13,10618303
Europe,Denmark,324484,491617000000,0,5733551
America,Dominican Republic,75018,26050000000,0.38,10766998
America,Ecuador,102311,36747200000,2.6,16624858
Africa,Egypt,237073,67322600000,0,97553151
Europe,Estonia,25973,20525100000,3.13,1309632
Africa,Ethiopia,80874,22490000000,0,104957438
Europe,Finland,253244,483369000000,0,5523231
Europe,France,2583560,5689745000000,11.14,64979548
Europe,Georgia,15230,16416500000,0.05,3912061
Europe,Germany,3684816,5398267000000,9.97,82114224
Africa,Ghana,47032,21170000000,0.28,28833629
Europe,Greece,200690,476997000000,4.45,11159773
America,Guatemala,75661,19090000000,1.65,16913503
Asia,Hong Kong,341659,108160806000,4.44,7364883
Europe,Hungary,152284,148024000000,2.9,9721559
Europe,Iceland,23909,24390600000,0,335025
Asia,India,2611012,513438000000,0.31,1339180127
Oceania,Indonesia,1015411,335289000000,0.63,263991379
Asia,Iraq,197699,68010000000,1.22,38274618
Europe,Ireland,333994,2384247000000,10.77,4761657
Asia,Israel,350609,89438400000,8.09,8321570
Europe,Italy,1937894,2510690000000,0,59359900
America,Jamaica,14290,16760000000,1.21,2890299
Asia,Japan,4872135,3586817000000,6.57,9702353
Africa,Jordan,40487,27756400000,1.49,18204499
Asia,Kazakhstan,160839,165501000000,0.5,18204499
Africa,Kenya,79511,22171900000,0.28,49699862
Asia,Kuwait,120351,47890000000,0.96,4136528
Europe,Latvia,30319,41147000000,2.8,1949670
Asia,Lebanon,51457,27796000000,2.15,6082357
Europe,Lithuania,47263,36427700000,2.4,2890297
Europe,Luxembourg,62393,4113419000000,13.02,583455
Oceania,Malaysia,314497,202572000000,0.9,31624264
Europe,Malta,12011,96251300000,5.06,430835
Africa,Mauritius,12273,189220000000,0.39,1265138
America,Mexico,1149236,437367000000,0.48,129163276
Asia,Mongolia,10869,25215000000,0.57,3075647
Africa,Morocco,109824,48830300000,1.62,35739580
Europe,Netherlands,825745,4510400000000,10.26,17035938
Oceania,New Zealand,201485,186216000000,12.27,4705818
Africa,Nigeria,376284,15047000000,0.34,190886311
Europe,Norway,396457,623223000000,0,5305383
Asia,Oman,74274,20850000000,4.39,4636262
Asia,Pakistan,303993,82980700000,0.68,197015955
Oceania,Palau,321,18380000000,3,21729
America,Panama,61838,18341000000,1.53,4098587
Africa,Papua New Guinea,23617,22040000000,1,8251162
America,Paraguay,29619,16122400000,1.56,6811297
America,Peru,215224,74651200000,1.25,32165485
Asia,Philippines,313419,72493000000,1.06,104918090
Europe,Poland,524886,363658000000,3.82,38170712
Europe,Portugal,218064,447022000000,3.77,10329506
Asia,Qatar,166326,159200000000,0,2639211
Europe,Romania,211315,108880000000,2.71,19679306
Europe,Russia,1527469,537458000000,0.61,143989754
Asia,Saudi Arabia,683827,200900000000,3.85,32938213
Europe,Serbia,41471,27954000000,1.62,8790574
Asia,Singapore,323902,1320567000000,0,5708844
Europe,Slovakia,95938,86630000000,3.1,5447662
Europe,Slovenia,48868,49950000000,5.24,2079976
Africa,South Africa,349299,142833000000,0,56717156
Europe,Spain,1313951,2259127000000,5.58,46354321
Asia,Sri Lanka,87591,46585700000,0.34,20876917
Africa,Sudan,58239,45000000000,0.37,40533330
Europe,Sweden,538575,938692000000,0,9910701
Europe,Switzerland,678575,1820695000000,0,8476005
Asia,Taiwan,579302,170138000000,4.02,18269868
Africa,Tanzania,51725,15890000000,0.09,57310019
Asia,Thailand,455378,140510000000,1.1,69037513
America,Trinidad & Tobago,20300,21532100000,2.21,1369125
Africa,Tunisia,40275,25124700000,0.41,11532127
Asia,Turkey,849480,453207000000,2.85,80745020
Europe,Ukraine,109321,114836000000,0.81,44222947
Asia,United Arab Emirates,377435,220400000000,0,9400145
Europe,United Kingdom,2624529,8475956000000,10.49,66181585
America,United States,19390600,21171000000000,7.25,324459463
Europe,Uruguay,58415,26149200000,1.74,3456750
Asia,Uzbekistan,47883,15750000000,0.24,31910641
America,Venezuela,210085,110878000000,0.01,31977065
Asia,Vietnam,220408,50937700000,0.73,95540800